category,district,total_events,avg_price_pkr,total_purchases,top_buyer_region	
Balochi_Embroidery,Khuzdar,1,4655.00,0,UAE	
Balochi_Embroidery,Turbat,1,3407.00,0,Oman	
Balochi_Embroidery,Quetta,1,4250.00,0,UAE	
Balochi_Embroidery,Khuzdar,1,3436.00,1,USA	
Balochi_Embroidery,Gwadar,2,3913.00,0,USA	
Balochi_Embroidery,Chaman,1,2829.00,0,Oman	
Balochi_Embroidery,Panjgur,1,7293.00,0,Oman	
Balochi_Embroidery,Khuzdar,1,3527.00,0,Oman	
Balochi_Embroidery,Turbat,1,1171.00,0,UK	
Balochi_Embroidery,Khuzdar,1,2925.00,0,Oman	
Balochi_Embroidery,Chaman,1,7084.00,0,Saudi_Arabia	
Balochi_Embroidery,Quetta,2,4302.50,1,Iran	
Balochi_Embroidery,Kalat,1,2181.00,0,Local_Pakistan	
Balochi_Embroidery,Quetta,1,5829.00,0,USA	
Balochi_Embroidery,Sibbi,1,2919.00,0,UK	
Balochi_Embroidery,Gwadar,1,2812.00,0,Local_Pakistan	
Balochi_Embroidery,Nushki,1,6575.00,0,USA	
Balochi_Embroidery,Sibbi,2,3540.00,0,Oman	
Balochi_Embroidery,Khuzdar,2,4061.00,0,UAE	
Balochi_Embroidery,Nushki,1,2510.00,1,Iran	
Balochi_Embroidery,Sibbi,1,3029.00,0,Saudi_Arabia	
Balochi_Embroidery,Quetta,1,2033.00,1,USA	
Balochi_Embroidery,Khuzdar,1,5693.00,0,Iran	
Balochi_Embroidery,Quetta,1,7290.00,1,Oman	
Balochi_Embroidery,Turbat,3,3717.67,2,Oman	
Balochi_Embroidery,Zhob,1,3812.00,0,Saudi_Arabia	
Balochi_Embroidery,Panjgur,1,7277.00,0,Oman	
Balochi_Embroidery,Gwadar,2,4350.00,0,Iran	
Balochi_Embroidery,Nushki,1,2690.00,0,Saudi_Arabia	
Balochi_Embroidery,Kalat,1,7588.00,1,Local_Pakistan	
Balochi_Embroidery,Panjgur,1,6027.00,1,UK	
Balochi_Embroidery,Zhob,1,7068.00,0,USA	
Balochi_Embroidery,Kalat,1,3518.00,1,Local_Pakistan	
Balochi_Embroidery,Zhob,1,6116.00,0,Iran	
Balochi_Embroidery,Quetta,2,1980.00,0,UAE	
